Count             DB        Elastic
    5           7592          63215
   10           8505          62704
   20           8760          63134
   50           9807          67636
  100          11778          71001
  200          15313          77929
  400          22701          91325
  500         130024         100532
 1000         224179          89039
 2000         246094         158806
 5000         337768         366026
